customer_id,month,total_revenue,total_orders,total_units,avg_order_value
CUST0001,2023-03,3832.84,1,4,3832.84
CUST0001,2024-02,8442.36,2,6,4221.18
CUST0002,2023-09,3543.45,1,3,3543.45
CUST0002,2024-11,4438.68,1,4,4438.68
CUST0002,2025-05,3480.5,1,2,3480.5
CUST0002,2025-11,5101.8,1,4,5101.8
CUST0003,2023-03,233.7,1,2,233.7
CUST0003,2024-02,3539.28,1,2,3539.28
CUST0003,2024-08,1217.37,1,1,1217.37
CUST0003,2025-04,2159.32,2,3,1079.66
CUST0004,2025-04,5033.6,1,4,5033.6
CUST0005,2023-01,566.44,1,1,566.44
CUST0005,2023-12,2171.26,1,3,2171.26
CUST0005,2024-02,2880.51,1,3,2880.51
CUST0005,2025-08,2018.96,1,2,2018.96
CUST0006,2023-02,179.3,1,1,179.3
CUST0006,2023-11,4176.83,2,8,2088.41
CUST0006,2025-12,852.52,1,2,852.52
CUST0007,2023-07,326.34,1,2,326.34
CUST0007,2023-08,263.66,1,1,263.66
CUST0007,2023-12,961.15,1,1,961.15
CUST0007,2024-10,1002.11,1,5,1002.11
CUST0007,2025-07,3253.28,2,3,1626.64
CUST0008,2023-05,8997.04,2,6,4498.52
CUST0008,2024-02,2687.26,1,5,2687.26
CUST0008,2024-04,5977.13,1,4,5977.13
CUST0008,2024-08,1107.67,1,1,1107.67
CUST0008,2025-01,9682.15,1,5,9682.15
CUST0009,2023-10,695.57,1,3,695.57
CUST0009,2023-11,3907.45,1,5,3907.45
CUST0009,2024-04,1722.08,1,2,1722.08
CUST0009,2024-10,1237.01,1,1,1237.01
CUST0009,2025-02,3703.07,1,4,3703.07
CUST0009,2025-05,233.35,1,1,233.35
CUST0009,2025-08,7467.03,2,7,3733.51
CUST0009,2025-09,73.03,1,2,73.03
CUST0010,2023-07,4908.28,1,4,4908.28
CUST0010,2023-12,1694.76,1,3,1694.76
CUST0010,2024-03,1866.29,1,4,1866.29
CUST0011,2023-01,2924.25,1,5,2924.25
CUST0011,2023-04,1206.87,1,3,1206.87
CUST0011,2023-08,243.89,1,1,243.89
CUST0011,2024-05,473.01,1,1,473.01
CUST0011,2024-08,3049.92,1,2,3049.92
CUST0011,2024-10,7387.72,1,4,7387.72
CUST0011,2024-11,4746.77,2,5,2373.39
CUST0011,2024-12,750.83,1,1,750.83
CUST0011,2025-03,2625.32,1,2,2625.32
CUST0012,2023-02,2422.46,1,3,2422.46
CUST0012,2023-10,639.27,1,4,639.27
CUST0012,2025-03,1645.32,1,1,1645.32
CUST0014,2023-01,96.79,1,2,96.79
CUST0014,2023-03,3008.75,1,3,3008.75
CUST0014,2023-04,5504.2,1,5,5504.2
CUST0014,2023-09,9294.08,2,6,4647.04
CUST0014,2025-04,289.9,1,2,289.9
CUST0014,2025-07,1448.98,1,1,1448.98
CUST0015,2023-05,1370.1,1,2,1370.1
CUST0015,2023-08,665.84,1,2,665.84
CUST0015,2024-02,2903.2,2,7,1451.6
CUST0015,2024-07,1596.54,1,2,1596.54
CUST0015,2024-10,4774.2,1,4,4774.2
CUST0015,2024-12,4927.4,1,4,4927.4
CUST0015,2025-06,126.96,1,1,126.96
CUST0015,2025-10,1357.69,1,1,1357.69
CUST0017,2023-01,915.82,1,1,915.82
CUST0017,2023-02,1459.26,1,2,1459.26
CUST0017,2024-02,1901.1,1,3,1901.1
CUST0017,2024-03,1850.38,1,2,1850.38
CUST0017,2024-07,4854.33,1,3,4854.33
CUST0017,2024-08,7155.96,1,4,7155.96
CUST0017,2025-05,8521.07,1,5,8521.07
CUST0017,2025-06,5910.48,1,4,5910.48
CUST0017,2025-08,13604.43,3,10,4534.81
CUST0018,2023-05,5922.6,1,4,5922.6
CUST0018,2023-08,793.54,1,1,793.54
CUST0018,2024-01,2744.73,1,3,2744.73
CUST0018,2025-12,1330.2,1,1,1330.2
CUST0019,2023-09,8691.65,2,7,4345.82
CUST0019,2023-10,1407.06,1,3,1407.06
CUST0019,2024-03,1257.0,1,5,1257.0
CUST0019,2024-08,9760.54,2,9,4880.27
CUST0019,2024-10,1040.28,1,3,1040.28
CUST0019,2025-09,6946.92,1,5,6946.92
CUST0019,2025-12,599.58,1,1,599.58
CUST0020,2024-12,3007.44,1,4,3007.44
CUST0020,2025-05,7004.44,1,4,7004.44
CUST0022,2023-04,7309.89,2,9,3654.94
CUST0022,2025-10,1314.54,1,1,1314.54
CUST0023,2023-02,846.34,1,1,846.34
CUST0023,2023-11,2161.9,1,3,2161.9
CUST0023,2024-10,1205.54,1,1,1205.54
CUST0023,2025-11,349.35,1,3,349.35
CUST0023,2025-12,4164.81,1,3,4164.81
CUST0024,2023-03,1156.4,1,5,1156.4
CUST0024,2023-08,804.51,1,3,804.51
CUST0024,2023-09,2537.38,2,8,1268.69
CUST0024,2023-12,907.03,1,1,907.03
CUST0024,2024-01,1841.78,1,1,1841.78
CUST0024,2024-09,948.77,1,1,948.77
CUST0024,2024-12,261.96,1,1,261.96
CUST0024,2025-01,1664.97,1,1,1664.97
CUST0024,2025-02,5414.28,1,4,5414.28
CUST0025,2023-05,1905.15,1,4,1905.15
CUST0025,2023-07,243.24,1,1,243.24
CUST0025,2023-10,248.83,1,1,248.83
CUST0025,2024-07,5823.56,1,4,5823.56
CUST0025,2025-04,5852.7,1,3,5852.7
CUST0026,2023-03,4381.45,1,3,4381.45
CUST0026,2023-06,867.46,1,2,867.46
CUST0026,2024-08,2848.52,1,3,2848.52
CUST0026,2024-12,1189.11,1,1,1189.11
CUST0026,2025-04,2204.56,1,3,2204.56
CUST0026,2025-07,2915.9,1,4,2915.9
CUST0028,2023-07,3181.33,2,5,1590.66
CUST0028,2023-12,3249.5,1,4,3249.5
CUST0028,2024-03,5818.38,1,3,5818.38
CUST0028,2025-08,3434.65,1,5,3434.65
CUST0028,2025-12,6359.94,1,4,6359.94
CUST0029,2023-03,2535.38,1,3,2535.38
CUST0029,2024-01,2437.65,1,5,2437.65
CUST0029,2024-08,1020.14,1,1,1020.14
CUST0029,2025-06,843.08,1,2,843.08
CUST0030,2023-03,4598.46,1,4,4598.46
CUST0030,2023-08,2528.04,1,2,2528.04
CUST0030,2023-09,3343.17,1,3,3343.17
CUST0030,2023-12,3744.56,1,2,3744.56
CUST0030,2024-06,5619.14,1,4,5619.14
CUST0030,2024-07,614.31,1,1,614.31
CUST0030,2024-09,2998.81,1,4,2998.81
CUST0030,2024-10,3485.62,2,6,1742.81
CUST0030,2024-11,6998.12,1,4,6998.12
CUST0030,2025-08,4165.32,1,3,4165.32
CUST0030,2025-10,2651.42,1,4,2651.42
CUST0031,2024-04,2841.79,1,4,2841.79
CUST0031,2025-08,5530.35,1,5,5530.35
CUST0032,2023-04,9182.41,2,9,4591.2
CUST0032,2023-09,6234.55,1,5,6234.55
CUST0032,2024-03,888.9,1,4,888.9
CUST0032,2024-06,796.86,2,3,398.43
CUST0032,2024-08,1206.78,1,4,1206.78
CUST0032,2024-11,1875.75,1,5,1875.75
CUST0032,2025-07,4564.6,1,5,4564.6
CUST0033,2025-05,1613.49,1,2,1613.49
CUST0034,2023-02,2619.92,1,2,2619.92
CUST0034,2023-04,7263.25,1,5,7263.25
CUST0034,2023-09,3187.55,1,4,3187.55
CUST0034,2023-11,3038.56,1,4,3038.56
CUST0034,2024-01,2202.65,1,5,2202.65
CUST0034,2024-07,5660.22,1,4,5660.22
CUST0034,2024-10,2974.26,1,3,2974.26
CUST0035,2023-07,893.88,1,3,893.88
CUST0035,2023-09,7161.45,2,5,3580.72
CUST0036,2024-03,5020.52,1,4,5020.52
CUST0036,2024-06,3183.53,1,4,3183.53
CUST0036,2025-08,818.5,1,5,818.5
CUST0036,2025-09,884.69,1,5,884.69
CUST0036,2025-12,5016.98,2,7,2508.49
CUST0037,2024-01,4529.4,2,6,2264.7
CUST0037,2024-05,3051.33,1,4,3051.33
CUST0037,2024-09,3360.47,1,3,3360.47
CUST0038,2025-07,905.51,1,4,905.51
CUST0038,2025-08,2012.03,1,2,2012.03
CUST0038,2025-09,3536.89,1,4,3536.89
CUST0039,2023-08,416.45,1,5,416.45
CUST0039,2023-09,4162.71,1,3,4162.71
CUST0039,2025-01,2245.02,1,2,2245.02
CUST0039,2025-10,2438.74,1,2,2438.74
CUST0040,2023-04,2318.5,1,5,2318.5
CUST0041,2023-05,4582.93,2,5,2291.47
CUST0041,2023-07,6163.3,1,4,6163.3
CUST0041,2023-11,5808.98,1,4,5808.98
CUST0041,2024-12,7435.84,1,5,7435.84
CUST0041,2025-01,971.98,1,5,971.98
CUST0041,2025-02,1763.31,1,3,1763.31
CUST0041,2025-04,6718.87,1,5,6718.87
CUST0042,2024-11,366.79,1,2,366.79
CUST0042,2025-12,1029.9,1,1,1029.9
CUST0043,2025-05,5965.75,1,5,5965.75
CUST0044,2023-03,953.84,1,4,953.84
CUST0044,2023-10,5581.4,1,4,5581.4
CUST0044,2024-04,4844.45,1,5,4844.45
CUST0044,2024-12,1686.33,1,1,1686.33
CUST0044,2025-01,411.01,1,2,411.01
CUST0044,2025-07,817.64,1,1,817.64
CUST0044,2025-12,5712.28,1,4,5712.28
CUST0045,2024-08,2986.61,1,2,2986.61
CUST0045,2025-09,1871.22,1,3,1871.22
CUST0046,2023-05,309.09,1,1,309.09
CUST0046,2023-07,147.58,1,2,147.58
CUST0046,2023-09,922.03,1,1,922.03
CUST0046,2023-10,1763.97,1,1,1763.97
CUST0046,2024-01,8978.9,1,5,8978.9
CUST0046,2024-07,2764.84,1,4,2764.84
CUST0046,2025-02,1346.5,1,2,1346.5
CUST0046,2025-04,531.44,1,3,531.44
CUST0046,2025-07,2751.57,1,2,2751.57
CUST0047,2023-04,1273.68,1,3,1273.68
CUST0047,2024-08,20.87,1,1,20.87
CUST0047,2025-02,5606.57,1,5,5606.57
CUST0047,2025-10,1183.93,1,2,1183.93
CUST0049,2023-05,2884.95,1,5,2884.95
CUST0049,2023-09,3643.8,1,5,3643.8
CUST0049,2024-03,489.51,1,1,489.51
CUST0049,2024-04,4384.84,2,3,2192.42
CUST0049,2024-06,4078.12,1,5,4078.12
CUST0049,2024-07,6289.72,2,6,3144.86
CUST0049,2025-03,1424.68,1,2,1424.68
CUST0049,2025-07,2662.6,1,2,2662.6
CUST0049,2025-09,1829.75,1,1,1829.75
CUST0050,2025-01,704.67,1,3,704.67
CUST0051,2024-04,491.32,1,3,491.32
CUST0051,2024-05,5831.82,1,4,5831.82
CUST0051,2024-11,1967.76,1,4,1967.76
CUST0052,2023-09,4986.92,1,5,4986.92
CUST0053,2023-04,3503.36,1,3,3503.36
CUST0054,2023-07,871.85,1,1,871.85
CUST0054,2023-09,955.13,1,1,955.13
CUST0054,2024-01,2176.63,1,3,2176.63
CUST0055,2023-10,1788.9,1,3,1788.9
CUST0055,2024-05,6975.75,2,5,3487.88
CUST0055,2024-08,320.76,1,3,320.76
CUST0055,2024-11,4830.08,1,4,4830.08
CUST0055,2025-01,1706.08,1,4,1706.08
CUST0055,2025-05,7388.87,1,5,7388.87
CUST0055,2025-10,2682.64,1,4,2682.64
CUST0055,2025-11,139.76,1,1,139.76
CUST0056,2023-03,2985.39,1,3,2985.39
CUST0056,2023-05,3013.58,1,2,3013.58
CUST0056,2023-06,1325.04,1,5,1325.04
CUST0056,2024-01,7817.64,1,4,7817.64
CUST0056,2024-05,689.99,1,1,689.99
CUST0057,2023-06,542.83,1,1,542.83
CUST0057,2024-02,254.79,1,1,254.79
CUST0057,2024-06,2331.24,1,3,2331.24
CUST0057,2025-01,2461.46,1,3,2461.46
CUST0058,2024-01,1313.35,1,3,1313.35
CUST0058,2024-11,6304.88,1,5,6304.88
CUST0058,2025-08,5271.3,1,4,5271.3
CUST0059,2023-07,6991.1,1,5,6991.1
CUST0059,2023-09,3867.72,1,4,3867.72
CUST0059,2024-08,3644.84,2,8,1822.42
CUST0059,2024-09,5574.03,1,4,5574.03
CUST0059,2025-01,3977.82,1,3,3977.82
CUST0059,2025-04,1906.44,1,3,1906.44
CUST0061,2023-01,2893.31,3,6,964.44
CUST0061,2023-07,5058.84,1,3,5058.84
CUST0061,2024-01,1166.0,1,5,1166.0
CUST0061,2024-02,1204.44,1,1,1204.44
CUST0061,2024-03,3810.55,1,5,3810.55
CUST0061,2025-01,1549.65,1,4,1549.65
CUST0062,2023-09,5180.98,1,3,5180.98
CUST0062,2025-10,4089.74,1,5,4089.74
CUST0063,2025-06,2582.46,1,2,2582.46
CUST0063,2025-12,1556.93,1,3,1556.93
CUST0064,2023-05,1791.72,1,2,1791.72
CUST0064,2023-11,5475.17,1,4,5475.17
CUST0064,2024-02,649.72,1,4,649.72
CUST0064,2024-09,7766.28,1,4,7766.28
CUST0064,2025-02,1542.85,1,1,1542.85
CUST0064,2025-07,2439.16,1,2,2439.16
CUST0065,2023-01,942.26,1,2,942.26
CUST0065,2024-05,1243.34,1,1,1243.34
CUST0065,2025-11,3713.06,1,3,3713.06
CUST0066,2023-01,1120.59,1,1,1120.59
CUST0066,2023-08,3535.63,1,3,3535.63
CUST0066,2024-01,9015.45,1,5,9015.45
CUST0066,2024-02,1431.4,1,4,1431.4
CUST0066,2024-03,1069.86,1,1,1069.86
CUST0066,2024-07,356.02,1,2,356.02
CUST0066,2024-09,1105.3,1,2,1105.3
CUST0066,2025-06,3244.32,1,2,3244.32
CUST0066,2025-12,92.48,1,4,92.48
CUST0067,2023-09,5823.72,1,4,5823.72
CUST0067,2025-01,1578.1,1,1,1578.1
CUST0067,2025-11,1349.06,1,2,1349.06
CUST0068,2023-12,5852.24,2,5,2926.12
CUST0068,2025-02,7947.4,1,4,7947.4
CUST0069,2023-01,816.84,1,3,816.84
CUST0069,2023-11,4030.44,1,3,4030.44
CUST0069,2024-04,4207.2,1,4,4207.2
CUST0069,2024-10,4321.92,1,5,4321.92
CUST0069,2025-03,1478.27,1,1,1478.27
CUST0069,2025-10,2065.66,1,4,2065.66
CUST0069,2025-12,3413.28,1,3,3413.28
CUST0071,2024-09,4075.6,1,3,4075.6
CUST0071,2025-03,7294.8,1,5,7294.8
CUST0072,2023-05,2443.0,1,4,2443.0
CUST0072,2023-12,472.04,1,1,472.04
